utc,a_jupiter_central,a_jupiter_J2,a_sun,a_io,a_europa,a_ganymede,a_callisto,a_saturn,a_srp,a_thrust
2032-07-20T00:00:00,0.029687516353034998,7.356085735624924e-07,1.1384190978255817e-06,3.478524280570011e-05,6.767049380995573e-06,7.6159864135126745e-06,1.5078982046742728e-06,1.4910341651662014e-11,5.071805208338346e-09,0.075
2032-07-20T01:00:00,0.02927577000460397,7.16230512126208e-07,1.143136102141659e-06,3.444251512083876e-05,6.762419294448869e-06,7.623028963795013e-06,1.5122643999803924e-06,1.493528440123138e-11,5.071757784263021e-09,0.075
2032-07-20T02:00:00,0.028877630278477784,6.977383982374319e-07,1.1476805569094127e-06,3.4115951482514584e-05,6.757725837540794e-06,7.629908764987035e-06,1.516559921210241e-06,1.4958290688476383e-11,5.0717149273007114e-09,0.07500000000000001
2032-07-20T03:00:00,0.02849252289914407,6.800811220355124e-07,1.15205546941179e-06,3.381617456550555e-05,6.7530140329613e-06,7.636634070431483e-06,1.5207883457212918e-06,1.497940790170695e-11,5.071676556704218e-09,0.075
2032-07-20T04:00:00,0.028119904774596385,6.632111632780948e-07,1.156263762971824e-06,3.354916712054539e-05,6.748335990245779e-06,7.643212922913531e-06,1.5249531395616146e-06,1.4998682063739415e-11,5.071642594135213e-09,0.075
2032-07-20T05:00:00,0.02775926199862807,6.470842995132615e-07,1.1603082799829112e-06,3.33173292912856e-05,6.7437503726124324e-06,7.64965314116949e-06,1.5290576639966998e-06,1.5016157888762647e-11,5.071612963572346e-09,0.075
2032-07-20T06:00:00,0.027410107998587036,6.316593409477325e-07,1.1641917848892728e-06,3.31205772409365e-05,6.739321957215517e-06,7.655962329539801e-06,1.533105181991613e-06,1.5031878837904968e-11,5.071587591221689e-09,0.075
2032-07-20T07:00:00,0.02707198181594441,6.168978892543468e-07,1.167916967243912e-06,3.295728135728689e-05,6.735121283647382e-06,7.66214790148509e-06,1.5370988646202873e-06,1.5045887176187e-11,5.071566405425576e-09,0.075
2032-07-20T08:00:00,0.026744446514162305,6.02764118231304e-07,1.1714864444160796e-06,3.282497402619366e-05,6.731224386970524e-06,7.668217108881813e-06,1.5410417973030189e-06,1.5058224022103335e-11,5.071549336582108e-09,0.07500000000000001
2032-07-20T09:00:00,0.026427087699588087,5.89224573902522e-07,1.1749027642602045e-06,3.2720834861806964e-05,6.727712612478764e-06,7.674177070809678e-06,1.5449369858893e-06,1.506892939638661e-11,5.071536317066275e-09,0.075
2032-07-20T10:00:00,0.026119512147397855,5.762479922069927e-07,1.1781684076762502e-06,3.264199545440121e-05,6.7246725096644316e-06,7.68003479726611e-06,1.5487873625509155e-06,1.5078042268379608e-11,5.071527281154665e-09,0.075
2032-07-20T11:00:00,0.025821346524285888,5.638051325638604e-07,1.1812857910649537e-06,3.258571298957415e-05,6.722195802861035e-06,7.68579720512542e-06,1.552595791468218e-06,1.5085600600304974e-11,5.0715221649536145e-09,0.07499999999999998
2032-07-20T12:00:00,0.025532236200296318,5.518686257811512e-07,1.1842572686814465e-06,3.254945645124023e-05,6.720379435616009e-06,7.691471125447097e-06,1.5563650742986208e-06,1.5091641389440307e-11,5.07152090633059e-09,0.07499999999999998
2032-07-20T13:00:00,0.025251844142784655,5.404128349348918e-07,1.1870851348934748e-06,3.25309392317661e-05,6.719325684946135e-06,7.697063302838719e-06,1.5600979554226207e-06,1.5096200708309762e-11,5.071523444848674e-09,0.075
2032-07-20T14:00:00,0.024979849886213573,5.294137279935179e-07,1.1897716263454158e-06,3.252812216586757e-05,6.719142340136555e-06,7.702580388894812e-06,1.5637971269664198e-06,1.5099313743065446e-11,5.071529721703992e-09,0.07499999999999998
2032-07-20T15:00:00,0.024715948571905736,5.188487610844361e-07,1.1923189240347172e-06,3.253920290803234e-05,6.719942938562635e-06,7.70802893269836e-06,1.5674652336061292e-06,1.5101014830035703e-11,5.071539679665921e-09,0.075
2032-07-20T16:00:00,0.02445985005246423,5.086967714163997e-07,1.1947291553032083e-06,3.2562601478316e-05,6.721847048009294e-06,7.713415371918554e-06,1.5711048771616197e-06,1.5101337490676458e-11,5.071553263019973e-09,0.075
2032-07-20T17:00:00,0.024211278055945844,4.989378789688042e-07,1.1970043957467196e-06,3.259694750042481e-05,6.7249805809570865e-06,7.71874602813995e-06,1.5747186209922567e-06,1.510031446486869e-11,5.071570417513177e-09,0.075
2032-07-20T18:00:00,0.023969969405320854,4.895533961500749e-07,1.1991466710489637e-06,3.264107182094551e-05,6.729476121052456e-06,7.724027109692237e-06,1.5783089942092972e-06,1.5097977742781808e-11,5.071591090301867e-09,0.075
2032-07-20T19:00:00,0.023735673289107785,4.805257447063391e-07,1.2011579587394026e-06,3.2694003475346986e-05,6.735473235186075e-06,7.729264724426174e-06,1.5818784957220825e-06,1.509435859525289e-11,5.071615229901758e-09,0.07499999999999998
2032-07-20T20:00:00,0.02350815057941471,4.7183837923286743e-07,1.2030401898827862e-06,3.275497195478742e-05,6.74311873592745e-06,7.734464903625268e-06,1.5854295981368332e-06,1.5089487602861074e-11,5.071642786140135e-09,0.07500000000000001
2032-07-20T21:00:00,0.023287173193918823,4.6347571670395504e-07,1.2047952506994894e-06,3.282341397861463e-05,6.752566848120691e-06,7.739633636603481e-06,1.5889647515280125e-06,1.5083394683719195e-11,5.071673710110172e-09,0.075
2032-07-20T22:00:00,0.023072523498602792,4.554230714938866e-07,1.2064249841235402e-06,3.2898983069007725e-05,6.76397921973615e-06,7.744776913584368e-06,1.5924863871026486e-06,1.5076109120000805e-11,5.071707954127137e-09,0.075
2032-07-20T23:00:00,0.022863993748316946,4.476665954122095e-07,1.207931191298677e-06,3.298155889440911e-05,6.777524699857303e-06,7.74990077227559e-06,1.5959969207780985e-06,1.5067659583405114e-11,5.0717454716864685e-09,0.075
2032-07-21T00:00:00,0.022661385562469286,4.4019322232198027e-07,1.209315633014912e-06,3.307125158347812e-05,6.793378784776853e-06,7.755011341250148e-06,1.599498756693193e-06,1.5058074159439274e-11,5.071786217423654e-09,0.07500000000000001
2032-07-21T01:00:00,0.022464509433370153,4.329906169508643e-07,1.2105800310918292e-06,3.316839416620613e-05,6.811722604748025e-06,7.760114870945384e-06,1.6029942906716628e-06,1.5047380370717372e-11,5.071830147075733e-09,0.07500000000000001
2032-07-21T02:00:00,0.02227318426491095,4.260471275399897e-07,1.2117260697074027e-06,3.327351399019418e-05,6.832741286394843e-06,7.765217740932106e-06,1.6064859136558343e-06,1.5035605199284482e-11,5.07187721744443e-09,0.075
2032-07-21T03:00:00,0.022087236939502635,4.193517420108463e-07,1.2127553966767986e-06,3.3387270849312377e-05,6.856621475896962e-06,7.770326430257814e-06,1.6099760151262123e-06,1.5022775107934574e-11,5.07192738636079e-09,0.075
2032-07-21T04:00:00,0.021906501911290704,4.128940473574205e-07,1.2136696246837202e-06,3.351034692970925e-05,6.883547708651272e-06,7.775447556169243e-06,1.6134669865213767e-06,1.500891606074317e-11,5.071980612651261e-09,0.075
2032-07-21T05:00:00,0.021730820823852935,4.0666419199885526e-07,1.2144703324654515e-06,3.364327430035774e-05,6.91369758271683e-06,7.780587971190924e-06,1.6169612246700936e-06,1.4994053542669206e-11,5.072036856105134e-09,0.075
2032-07-21T06:00:00,0.021560042150706487,4.0065285085128055e-07,1.2151590659564068e-06,3.378618559358841e-05,6.9472347096941306e-06,7.78575469123783e-06,1.6204611352454603e-06,1.4978212578429913e-11,5.072096077443299e-09,0.075
2032-07-21T07:00:00,0.021394020857075414,3.9485119289905533e-07,1.215737339389519e-06,3.393848006504237e-05,6.984300438454865e-06,7.79095494067879e-06,1.623969136248645e-06,1.4961417750567745e-11,5.072158238288202e-09,0.075
2032-07-21T08:00:00,0.021232618081482406,3.892508510650874e-07,1.2162066363611618e-06,3.409841930414703e-05,7.02500356287862e-06,7.796196172450393e-06,1.6274876615275608e-06,1.4943693216862922e-11,5.072223301134975e-09,0.07500000000000001
2032-07-21T09:00:00,0.021075700835833537,3.8384389419749914e-07,1.2165684108594002e-06,3.4262696955263655e-05,7.069408490557643e-06,7.801486089874991e-06,1.6310191643337125e-06,1.4925062727040673e-11,5.072291229323653e-09,0.07500000000000001
2032-07-21T10:00:00,0.020923141722766086,3.78622801006001e-07,1.216824088259973e-06,3.442607647700046e-05,7.1175218323811416e-06,7.806832670300365e-06,1.6345661209184862e-06,1.4905549638869837e-11,5.072361987012391e-09,0.07500000000000001
