dep_utc,arr_utc,TOF_days,C3_short,vinfD_short_kms,vinfA_short_kms,DVtot_short_kms
2035-09-04T00:00:00,2036-06-30T00:00:00,300.0000000179835,46.13489925426861,6.792267607674819,4.287620625782978,11.079888233457797
2035-09-07T00:00:00,2036-06-30T00:00:00,297.0000000184747,47.07179111812646,6.860888507921293,4.217282799845751,11.078171307767043
2035-09-10T00:00:00,2036-06-30T00:00:00,294.00000001891897,49.32397173966004,7.023102714588477,4.205028080604742,11.22813079519322
2035-09-13T00:00:00,2036-06-30T00:00:00,291.0000000193218,52.524650286243855,7.247389204827064,4.2313858450635005,11.478775049890565
2035-09-16T00:00:00,2036-06-30T00:00:00,288.00000001967504,56.488364570924126,7.5158741721056055,4.285428345973669,11.801302518079275
2035-09-19T00:00:00,2036-06-30T00:00:00,285.0000000199841,61.11919250322171,7.817876470194557,4.360696439137106,12.178572909331663
2035-09-22T00:00:00,2036-06-30T00:00:00,282.0000000202435,66.36923219475086,8.14673138103564,4.453213067131455,12.599944448167093
2035-09-25T00:00:00,2036-06-30T00:00:00,279.00000002045323,72.21820718316064,8.498129628521834,4.56045045863584,13.058580087157674
2035-09-28T00:00:00,2036-06-30T00:00:00,276.0000000206133,78.66275296050837,8.869202498562561,4.680763688330023,13.549966186892584
2035-10-01T00:00:00,2036-06-30T00:00:00,273.00000002072363,85.71046180103248,9.257994480503458,4.813065569921003,14.07106005042446
2035-10-04T00:00:00,2036-06-30T00:00:00,270.00000002078434,93.3764178496662,9.663147409082933,4.956632590117188,14.619779999200121
2035-10-07T00:00:00,2036-06-30T00:00:00,267.00000002079264,101.68110868438397,10.083705106972534,5.1109850250460065,15.19469013201854
2035-10-10T00:00:00,2036-06-30T00:00:00,264.00000002075126,110.6491206281989,10.51898857439245,5.275810615218253,15.794799189610703
2035-10-13T00:00:00,2036-06-30T00:00:00,261.0000000206574,120.3082881806582,10.968513490015782,5.4509146480491495,16.41942813806493
2035-10-16T00:00:00,2036-06-30T00:00:00,258.00000002051115,130.68911649992484,11.431934066461581,5.636186506215613,17.068120572677195
